epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,17.8561,0.67668,0.39692,0.92742,0.7816,0.41474,0.42249,0.28565,1.18104,1.01034,1.30388,0.000413012,0.000413012,0.000413012
2,34.3131,0.69306,0.4022,0.93071,0.76492,0.41067,0.42878,0.27659,1.24802,1.06608,1.36588,0.000829585,0.000829585,0.000829585
3,49.6271,0.70715,0.42119,0.9366,0.73668,0.43425,0.43091,0.27371,1.21761,0.96242,1.34884,0.00124608,0.00124608,0.00124608
4,65.1283,0.72817,0.42984,0.93944,0.81089,0.40602,0.43057,0.27989,1.20339,1.03339,1.38357,0.00124961,0.00124961,0.00124961
5,80.7233,0.72662,0.43096,0.93676,0.73573,0.41365,0.41415,0.27724,1.19394,1.09627,1.32787,0.00124949,0.00124949,0.00124949
6,96.5396,0.70903,0.42381,0.94238,0.74474,0.39394,0.40098,0.26067,1.25101,1.17246,1.32579,0.00124937,0.00124937,0.00124937
7,112.202,0.68996,0.40417,0.93144,0.81899,0.41325,0.42549,0.28499,1.19279,1.0563,1.26592,0.00124924,0.00124924,0.00124924
8,127.567,0.69425,0.40565,0.92794,0.71729,0.41071,0.39529,0.25249,1.32845,1.08741,1.4501,0.00124912,0.00124912,0.00124912
9,142.566,0.68614,0.40137,0.93595,0.75472,0.40429,0.41756,0.26007,1.2815,1.07282,1.32813,0.001249,0.001249,0.001249
10,157.77,0.69641,0.40644,0.93233,0.4989,0.42578,0.42403,0.26216,1.27411,1.01832,1.41738,0.00124888,0.00124888,0.00124888
11,173.064,0.68073,0.40101,0.92875,0.80559,0.38506,0.41403,0.26203,1.21991,1.27875,1.37819,0.00124877,0.00124877,0.00124877
12,188.243,0.69404,0.40123,0.92857,0.49774,0.43199,0.4316,0.27296,1.22691,1.02392,1.4197,0.00124865,0.00124865,0.00124865
13,203.383,0.68227,0.40304,0.93256,0.76877,0.40814,0.42193,0.2688,1.26329,1.07375,1.40797,0.00124853,0.00124853,0.00124853
14,218.744,0.67287,0.39633,0.9273,0.76818,0.41374,0.41576,0.27754,1.17811,1.07459,1.29398,0.00124841,0.00124841,0.00124841
15,233.798,0.66963,0.39045,0.92199,0.48795,0.41488,0.40631,0.2681,1.21661,1.10566,1.35315,0.00124829,0.00124829,0.00124829
16,248.81,0.67519,0.39125,0.92236,0.81642,0.40274,0.41445,0.2686,1.18626,1.20759,1.39234,0.00124817,0.00124817,0.00124817
17,263.955,0.6743,0.3919,0.92142,0.78781,0.40906,0.42377,0.27454,1.19389,1.1126,1.32321,0.00124805,0.00124805,0.00124805
18,279.21,0.66424,0.38385,0.91657,0.71914,0.3905,0.39458,0.26136,1.21885,1.16124,1.46003,0.00124794,0.00124794,0.00124794
19,294.642,0.66409,0.38028,0.92094,0.74629,0.39784,0.4063,0.26139,1.26879,1.15233,1.5195,0.00124782,0.00124782,0.00124782
20,309.872,0.64365,0.36902,0.91513,0.52322,0.40974,0.42789,0.27358,1.21782,1.09331,1.4113,0.0012477,0.0012477,0.0012477
21,325.086,0.63604,0.36434,0.9117,0.52662,0.40893,0.41718,0.26895,1.27563,1.074,1.49734,0.00124758,0.00124758,0.00124758
22,340.069,0.64136,0.36857,0.91683,0.76282,0.38914,0.40683,0.2649,1.20846,1.14439,1.31217,0.00124746,0.00124746,0.00124746
23,355.139,0.64242,0.36951,0.91131,0.53276,0.36699,0.38309,0.2475,1.33359,1.2494,1.60858,0.00124734,0.00124734,0.00124734
24,370.292,0.63754,0.3642,0.90942,0.76739,0.38842,0.39959,0.27477,1.23915,1.18458,1.41599,0.00124722,0.00124722,0.00124722
25,385.624,0.63235,0.36709,0.90914,0.47265,0.38383,0.38322,0.2557,1.25199,1.17915,1.4008,0.00124711,0.00124711,0.00124711
26,401.099,0.64529,0.36946,0.91162,0.58853,0.39402,0.42232,0.27256,1.23135,1.12124,1.31517,0.00124699,0.00124699,0.00124699
27,416.26,0.62902,0.36239,0.90567,0.53858,0.39561,0.4128,0.26933,1.20343,1.18258,1.36609,0.00124686,0.00124686,0.00124686
28,431.378,0.63075,0.35941,0.90607,0.73962,0.38236,0.38505,0.25346,1.24049,1.16626,1.49882,0.00124675,0.00124675,0.00124675
29,446.717,0.63228,0.3628,0.90638,0.83102,0.41408,0.43767,0.28577,1.15854,1.11729,1.32195,0.00124663,0.00124663,0.00124663
30,461.843,0.62942,0.35804,0.90487,0.81895,0.39293,0.42214,0.27509,1.26024,1.15709,1.44516,0.00124651,0.00124651,0.00124651
31,476.864,0.62635,0.35874,0.91,0.5122,0.39899,0.40165,0.25481,1.32516,1.20214,1.48817,0.00124639,0.00124639,0.00124639
32,492.238,0.62728,0.3504,0.90345,0.5353,0.41249,0.43116,0.27006,1.22953,1.13618,1.41177,0.00124627,0.00124627,0.00124627
33,508.155,0.61731,0.34729,0.90493,0.55205,0.39246,0.41809,0.28092,1.19936,1.16066,1.31512,0.00124615,0.00124615,0.00124615
34,523.324,0.61608,0.34921,0.90075,0.56311,0.41947,0.43306,0.28651,1.17805,0.99883,1.30986,0.00124603,0.00124603,0.00124603
35,538.506,0.62461,0.35765,0.91154,0.58916,0.41327,0.42812,0.27661,1.25706,1.08033,1.39989,0.00124591,0.00124591,0.00124591
36,553.744,0.61067,0.34933,0.90612,0.76994,0.38472,0.39435,0.25291,1.28814,1.36971,1.42831,0.00124579,0.00124579,0.00124579
37,568.675,0.61278,0.34441,0.90405,0.50027,0.38735,0.40138,0.26738,1.22578,1.19191,1.36886,0.00124567,0.00124567,0.00124567
38,583.693,0.61211,0.34971,0.90418,0.53173,0.38703,0.40056,0.26362,1.22736,1.16214,1.35034,0.00124556,0.00124556,0.00124556
39,599.213,0.62288,0.35089,0.90563,0.58171,0.41345,0.43631,0.28884,1.19726,1.05165,1.30001,0.00124544,0.00124544,0.00124544
40,614.518,0.60651,0.34628,0.90332,0.72509,0.38498,0.39355,0.253,1.30803,1.2222,1.474,0.00124532,0.00124532,0.00124532
41,629.716,0.60237,0.34583,0.90304,0.47863,0.40499,0.40858,0.26815,1.19666,1.12612,1.30367,0.0012452,0.0012452,0.0012452
42,644.838,0.6038,0.34493,0.89958,0.74093,0.39826,0.41088,0.2665,1.19786,1.09554,1.33447,0.00124508,0.00124508,0.00124508
43,660.002,0.60501,0.34455,0.90382,0.77992,0.40814,0.42374,0.27884,1.16891,1.08507,1.2528,0.00124496,0.00124496,0.00124496
44,675.081,0.59735,0.34091,0.90245,0.49342,0.41579,0.40931,0.25994,1.24648,1.24632,1.44773,0.00124484,0.00124484,0.00124484
45,690.524,0.59493,0.3391,0.8981,0.54364,0.41451,0.42523,0.28084,1.191,1.06076,1.35382,0.00124472,0.00124472,0.00124472
46,705.668,0.60477,0.34037,0.90005,0.51238,0.39923,0.40899,0.27399,1.15035,1.17048,1.23899,0.0012446,0.0012446,0.0012446
47,720.911,0.59796,0.3354,0.89806,0.76537,0.39363,0.40737,0.26902,1.24946,1.1655,1.29694,0.00124449,0.00124449,0.00124449
48,736.275,0.59892,0.3363,0.8969,0.52175,0.40183,0.41024,0.26477,1.21885,1.18604,1.42021,0.00124437,0.00124437,0.00124437
49,751.603,0.58455,0.33105,0.89316,0.53474,0.41173,0.42553,0.27669,1.21713,1.08048,1.39994,0.00124425,0.00124425,0.00124425
50,766.592,0.58832,0.32901,0.89445,0.52928,0.41773,0.42954,0.28732,1.1351,1.07273,1.23074,0.00124413,0.00124413,0.00124413
51,782.011,0.58934,0.33509,0.89676,0.53743,0.42516,0.43515,0.28586,1.18549,1.06015,1.38243,0.00124401,0.00124401,0.00124401
52,797.36,0.58339,0.33174,0.89181,0.59341,0.39207,0.41705,0.27468,1.242,1.16887,1.39886,0.00124389,0.00124389,0.00124389
53,812.426,0.5849,0.32941,0.89323,0.54481,0.40317,0.42638,0.2862,1.17811,1.07156,1.27707,0.00124377,0.00124377,0.00124377
54,827.617,0.57219,0.32327,0.88887,0.77058,0.41668,0.42609,0.2808,1.16758,1.12788,1.39188,0.00124365,0.00124365,0.00124365
55,842.803,0.59031,0.33172,0.894,0.58365,0.39665,0.41998,0.27146,1.23532,1.17299,1.39097,0.00124353,0.00124353,0.00124353
56,857.938,0.58027,0.32791,0.8906,0.47571,0.38267,0.39756,0.26184,1.28095,1.26738,1.44804,0.00124341,0.00124341,0.00124341
57,872.979,0.57846,0.32513,0.89235,0.73558,0.37939,0.39219,0.26198,1.20583,1.19855,1.46836,0.0012433,0.0012433,0.0012433
58,888.358,0.58295,0.32565,0.89017,0.51912,0.39857,0.41635,0.27821,1.22206,1.18322,1.36525,0.00124318,0.00124318,0.00124318
59,903.871,0.57136,0.32478,0.89262,0.75597,0.40682,0.42297,0.27501,1.21251,1.22036,1.43746,0.00124306,0.00124306,0.00124306
60,919.178,0.57165,0.322,0.89071,0.78646,0.37103,0.38899,0.26167,1.19688,1.17062,1.39545,0.00124294,0.00124294,0.00124294
61,934.284,0.56338,0.31865,0.88654,0.54183,0.39682,0.41255,0.27661,1.21114,1.13478,1.35514,0.00124282,0.00124282,0.00124282
62,949.398,0.57582,0.32572,0.89193,0.49312,0.38992,0.39923,0.26889,1.2127,1.13765,1.39353,0.0012427,0.0012427,0.0012427
63,964.63,0.57067,0.3204,0.88644,0.51468,0.38015,0.40161,0.26649,1.22088,1.19336,1.39228,0.00124258,0.00124258,0.00124258
64,979.99,0.57205,0.32548,0.89101,0.53566,0.37466,0.40175,0.26814,1.22995,1.22056,1.43066,0.00124246,0.00124246,0.00124246
65,995.171,0.55864,0.31783,0.88711,0.53949,0.4105,0.43363,0.28668,1.23432,1.09156,1.39856,0.00124234,0.00124234,0.00124234
66,1010.25,0.56702,0.31772,0.88903,0.51644,0.40329,0.41985,0.26744,1.16991,1.06802,1.31256,0.00124222,0.00124222,0.00124222
67,1025.49,0.56081,0.3207,0.88911,0.77368,0.40208,0.41875,0.27351,1.20931,1.23843,1.35746,0.00124211,0.00124211,0.00124211
68,1040.76,0.55713,0.31368,0.88326,0.46952,0.40712,0.41096,0.2761,1.15946,1.2019,1.35212,0.00124199,0.00124199,0.00124199
69,1055.64,0.56564,0.31716,0.8903,0.56792,0.39828,0.42507,0.27876,1.21719,1.16438,1.36969,0.00124187,0.00124187,0.00124187
70,1070.93,0.56408,0.31529,0.88868,0.86524,0.39559,0.42413,0.28479,1.15853,1.11311,1.3318,0.00124175,0.00124175,0.00124175
71,1086.36,0.55749,0.31552,0.88446,0.53653,0.39339,0.41627,0.26939,1.20401,1.2936,1.3781,0.00124163,0.00124163,0.00124163
