epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,19.7675,1.16261,1.71853,1.17519,0.79495,0.35366,0.3995,0.26216,1.27602,1.36888,1.35693,0.000413012,0.000413012,0.000413012
2,37.7861,1.02359,0.94501,1.07866,0.64821,0.35532,0.36758,0.23344,1.3664,1.33573,1.4019,0.000829575,0.000829575,0.000829575
3,55.9986,0.95946,0.78896,1.04466,0.73162,0.39943,0.4222,0.24054,1.42546,1.18071,1.74656,0.00124605,0.00124605,0.00124605
4,72.9338,0.93034,0.69452,1.02092,0.73591,0.42107,0.41701,0.26284,1.22967,1.00738,1.26454,0.00124956,0.00124956,0.00124956
5,89.2883,0.91579,0.6434,1.01296,0.72236,0.37366,0.40895,0.25985,1.27524,1.21123,1.37687,0.00124943,0.00124943,0.00124943
6,111.328,0.85293,0.57819,0.99972,0.73599,0.40947,0.42173,0.27993,1.20499,1.05373,1.16476,0.0012493,0.0012493,0.0012493
7,136.929,0.82852,0.54114,0.99101,0.67682,0.43643,0.415,0.27057,1.18276,0.97687,1.22584,0.00124912,0.00124912,0.00124912
8,152.077,0.83615,0.53326,0.98437,0.67067,0.41104,0.38708,0.25362,1.2374,1.055,1.22089,0.00124893,0.00124893,0.00124893
9,167.784,0.8146,0.51642,0.98827,0.79965,0.37336,0.39755,0.24587,1.31654,1.09052,1.27755,0.00124881,0.00124881,0.00124881
10,184.276,0.80083,0.5003,0.97006,0.80279,0.41922,0.43007,0.28435,1.21927,1.06819,1.29043,0.00124869,0.00124869,0.00124869
11,200.614,0.78632,0.48662,0.96473,0.78591,0.42983,0.43097,0.27308,1.25724,1.02472,1.28296,0.00124856,0.00124856,0.00124856
12,217.311,0.79248,0.48557,0.9648,0.74315,0.40858,0.41379,0.26812,1.18335,0.9966,1.4948,0.00124843,0.00124843,0.00124843
13,233.876,0.77042,0.47261,0.96117,0.75815,0.40434,0.41722,0.27968,1.20154,1.0576,1.23038,0.0012483,0.0012483,0.0012483
14,250.55,0.74263,0.44954,0.95283,0.77137,0.42214,0.42226,0.27641,1.21286,0.96882,1.36558,0.00124817,0.00124817,0.00124817
15,267.204,0.74489,0.4489,0.95073,0.81055,0.40464,0.43176,0.27906,1.21656,1.01076,1.2906,0.00124804,0.00124804,0.00124804
16,283.609,0.75278,0.44877,0.95347,0.85811,0.41676,0.45241,0.2863,1.23075,1.04634,1.3603,0.00124791,0.00124791,0.00124791
17,299.97,0.73738,0.43656,0.94723,0.80924,0.41625,0.45057,0.28224,1.19687,1.08021,1.33131,0.00124778,0.00124778,0.00124778
18,316.268,0.72635,0.43055,0.94056,0.83818,0.42183,0.43996,0.28011,1.23653,1.02939,1.36868,0.00124766,0.00124766,0.00124766
19,332.333,0.72728,0.42749,0.94163,0.79504,0.39774,0.41563,0.26547,1.23919,1.09316,1.36137,0.00124753,0.00124753,0.00124753
20,348.955,0.70552,0.41451,0.93796,0.74301,0.40732,0.40369,0.26163,1.31243,1.12645,1.44824,0.0012474,0.0012474,0.0012474
21,365.503,0.70474,0.41496,0.93628,0.76546,0.40995,0.42101,0.26611,1.2376,1.05285,1.3921,0.00124727,0.00124727,0.00124727
22,381.85,0.69871,0.41233,0.93485,0.53506,0.41056,0.41416,0.27149,1.2437,1.09745,1.39266,0.00124714,0.00124714,0.00124714
23,398.365,0.69914,0.4132,0.93205,0.82017,0.40487,0.42869,0.26439,1.30549,1.12001,1.57082,0.00124702,0.00124702,0.00124702
24,415.036,0.6857,0.40046,0.92743,0.76141,0.42891,0.43357,0.27639,1.2948,1.05335,1.38224,0.00124689,0.00124689,0.00124689
25,431.369,0.67258,0.39671,0.92431,0.8465,0.41227,0.43568,0.27882,1.2331,1.05254,1.3254,0.00124676,0.00124676,0.00124676
26,447.878,0.68102,0.39525,0.92503,0.8242,0.39978,0.42554,0.26723,1.25017,1.06309,1.3164,0.00124663,0.00124663,0.00124663
27,464.452,0.67752,0.39479,0.91973,0.85502,0.3724,0.40587,0.26123,1.26245,1.20421,1.51235,0.0012465,0.0012465,0.0012465
28,480.768,0.67202,0.38678,0.91917,0.69745,0.4069,0.39931,0.26439,1.19356,1.12409,1.46914,0.00124637,0.00124637,0.00124637
29,497.15,0.67843,0.39264,0.92316,0.8065,0.41065,0.41213,0.28261,1.17163,1.04464,1.24733,0.00124624,0.00124624,0.00124624
30,513.289,0.66943,0.38494,0.92141,0.83042,0.40505,0.43112,0.27895,1.26969,1.16863,1.32652,0.00124611,0.00124611,0.00124611
31,529.55,0.66113,0.38151,0.92102,0.77134,0.38159,0.39461,0.25681,1.3035,1.17626,1.41641,0.00124599,0.00124599,0.00124599
32,545.825,0.67459,0.38585,0.92174,0.78892,0.40304,0.41297,0.27115,1.193,1.13741,1.35968,0.00124586,0.00124586,0.00124586
33,562.253,0.65811,0.37793,0.91819,0.79865,0.40187,0.41692,0.27733,1.25449,1.18077,1.45672,0.00124573,0.00124573,0.00124573
34,578.651,0.65795,0.37944,0.91257,0.77884,0.40307,0.42011,0.2675,1.26669,1.09034,1.39102,0.00124561,0.00124561,0.00124561
35,595.193,0.65748,0.37739,0.92049,0.82043,0.406,0.42161,0.27013,1.2355,1.08422,1.37761,0.00124548,0.00124548,0.00124548
36,611.72,0.64095,0.36948,0.91368,0.70955,0.42209,0.41249,0.26477,1.2687,1.12164,1.36327,0.00124535,0.00124535,0.00124535
37,628.171,0.64391,0.36885,0.91341,0.76083,0.42808,0.42294,0.27788,1.21512,1.12508,1.30365,0.00124522,0.00124522,0.00124522
38,644.335,0.63359,0.36674,0.90901,0.79829,0.4198,0.43181,0.28305,1.17461,1.07241,1.26325,0.00124509,0.00124509,0.00124509
39,660.748,0.64791,0.37077,0.91413,0.51569,0.39982,0.41219,0.26636,1.29817,1.1672,1.54741,0.00124496,0.00124496,0.00124496
40,677.267,0.63905,0.37015,0.9162,0.58032,0.38209,0.40766,0.26295,1.21807,1.1889,1.31302,0.00124484,0.00124484,0.00124484
41,693.524,0.62245,0.35982,0.91009,0.53539,0.4031,0.41719,0.27394,1.22987,1.12479,1.35236,0.00124471,0.00124471,0.00124471
42,709.747,0.64433,0.37083,0.91247,0.51953,0.41102,0.4228,0.26344,1.20685,1.15073,1.26768,0.00124458,0.00124458,0.00124458
43,726.033,0.63896,0.3669,0.91587,0.58019,0.4077,0.42124,0.27293,1.26466,1.08275,1.37365,0.00124445,0.00124445,0.00124445
44,742.279,0.62772,0.36132,0.91363,0.73848,0.42083,0.41153,0.26366,1.25681,1.18849,1.44765,0.00124433,0.00124433,0.00124433
45,758.739,0.63,0.35867,0.90835,0.496,0.42154,0.42168,0.27054,1.21326,1.11763,1.38154,0.0012442,0.0012442,0.0012442
46,775.018,0.62858,0.3555,0.9085,0.84452,0.41389,0.44225,0.28436,1.21047,1.09996,1.34312,0.00124407,0.00124407,0.00124407
47,791.817,0.62285,0.35527,0.9063,0.77232,0.41391,0.42529,0.27348,1.26818,1.16113,1.45981,0.00124394,0.00124394,0.00124394
48,808.085,0.62435,0.35255,0.90544,0.78246,0.39487,0.40053,0.26874,1.21187,1.07997,1.37454,0.00124381,0.00124381,0.00124381
49,824.481,0.62013,0.35832,0.9058,0.46272,0.41978,0.41904,0.2766,1.2393,1.11448,1.36656,0.00124369,0.00124369,0.00124369
50,840.79,0.63011,0.36017,0.90965,0.74852,0.41429,0.41591,0.2671,1.2366,1.24128,1.39803,0.00124356,0.00124356,0.00124356
51,857.272,0.61988,0.35428,0.90483,0.56931,0.4199,0.43231,0.27712,1.22911,1.13375,1.34657,0.00124343,0.00124343,0.00124343
52,873.45,0.61829,0.35227,0.90199,0.82598,0.39562,0.41712,0.27034,1.25951,1.18132,1.38574,0.0012433,0.0012433,0.0012433
53,889.81,0.60076,0.34172,0.89928,0.51258,0.38888,0.39593,0.26657,1.21241,1.10408,1.32785,0.00124318,0.00124318,0.00124318
54,905.973,0.60623,0.3436,0.9014,0.60372,0.39239,0.42241,0.26838,1.28424,1.13259,1.43914,0.00124305,0.00124305,0.00124305
55,922.403,0.62071,0.35397,0.90336,0.50057,0.40975,0.39058,0.2634,1.20407,1.05682,1.33169,0.00124292,0.00124292,0.00124292
56,939.004,0.59916,0.34154,0.89744,0.55702,0.39753,0.42097,0.27754,1.23634,1.1486,1.38642,0.00124279,0.00124279,0.00124279
57,955.457,0.6098,0.34494,0.90074,0.47941,0.40902,0.41205,0.2687,1.20805,1.16719,1.35936,0.00124266,0.00124266,0.00124266
58,971.771,0.59684,0.33672,0.8955,0.58668,0.39307,0.41789,0.26531,1.29444,1.22552,1.52927,0.00124253,0.00124253,0.00124253
59,988.239,0.60807,0.34635,0.90564,0.52647,0.40091,0.41123,0.27618,1.22432,1.15976,1.37692,0.00124241,0.00124241,0.00124241
60,1004.69,0.59716,0.33766,0.89946,0.73506,0.4036,0.40762,0.27172,1.22473,1.12093,1.29619,0.00124228,0.00124228,0.00124228
61,1021.23,0.58885,0.33774,0.89403,0.59268,0.39772,0.42653,0.27507,1.22586,1.19464,1.49848,0.00124215,0.00124215,0.00124215
62,1037.66,0.59452,0.33964,0.89808,0.57768,0.40172,0.42439,0.28502,1.18565,1.13797,1.32944,0.00124202,0.00124202,0.00124202
63,1054.02,0.58599,0.33269,0.89181,0.75293,0.39765,0.40889,0.26492,1.23864,1.18242,1.39139,0.00124189,0.00124189,0.00124189
64,1070.14,0.58751,0.33241,0.89478,0.5627,0.38728,0.41729,0.25964,1.28801,1.24711,1.52799,0.00124176,0.00124176,0.00124176
65,1086.34,0.57712,0.32529,0.89406,0.49977,0.40571,0.41253,0.27153,1.24271,1.17802,1.46579,0.00124164,0.00124164,0.00124164
66,1102.57,0.59083,0.33364,0.89561,0.72349,0.40453,0.40311,0.26545,1.19856,1.10454,1.31309,0.00124151,0.00124151,0.00124151
67,1118.81,0.57616,0.33259,0.89444,0.54747,0.40771,0.41831,0.27384,1.22117,1.15551,1.40181,0.00124139,0.00124139,0.00124139
68,1135.11,0.57653,0.32734,0.8898,0.77767,0.41338,0.43134,0.28108,1.22517,1.19413,1.47531,0.00124126,0.00124126,0.00124126
69,1151.36,0.59237,0.33341,0.89696,0.76217,0.41493,0.42472,0.27297,1.22794,1.167,1.454,0.00124113,0.00124113,0.00124113
70,1167.95,0.58366,0.32828,0.89242,0.80209,0.3946,0.40451,0.2694,1.18236,1.26958,1.37589,0.001241,0.001241,0.001241
71,1184.33,0.56468,0.31907,0.88891,0.76857,0.40564,0.41432,0.26954,1.22583,1.1251,1.43267,0.00124087,0.00124087,0.00124087
72,1200.68,0.56945,0.32044,0.88697,0.53359,0.38839,0.40477,0.26514,1.22159,1.18927,1.45513,0.00124075,0.00124075,0.00124075
73,1216.93,0.58316,0.32816,0.89407,0.46805,0.3986,0.40305,0.26747,1.22339,1.13375,1.32689,0.00124062,0.00124062,0.00124062
74,1233.17,0.59422,0.33485,0.89533,0.76679,0.38136,0.40685,0.27134,1.19032,1.24553,1.36263,0.00124049,0.00124049,0.00124049
75,1249.55,0.562,0.3185,0.8886,0.76513,0.41248,0.42897,0.28104,1.20073,1.14966,1.43983,0.00124036,0.00124036,0.00124036
76,1266.12,0.57157,0.32234,0.8911,0.5596,0.40069,0.42323,0.28109,1.2129,1.13179,1.4025,0.00124024,0.00124024,0.00124024
77,1282.42,0.57086,0.32366,0.89162,0.79053,0.39285,0.41918,0.26892,1.26802,1.21643,1.47246,0.00124011,0.00124011,0.00124011
